series,country,code,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015
Energy use (kg of oil equivalent per capita),Dominica,DMA,0,0,0,0,568.107328584539,596.502458754037,610.41188268465,624.573329266344,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Dominican Republic,DOM,841.044291890091,802.943207233068,839.375479751724,783.091479207449,698.586100746719,749.563633044605,766.382694782877,770.019495205939,762.696422173312,739.043027704761,766.798147690851,771.066180784488,804.095582593402,748.842461908097,740.837890217544,0
Energy use (kg of oil equivalent per capita),Ecuador,ECU,694.741893227992,724.591076886375,694.865049756166,692.867782116263,657.516687301749,674.376070829153,665.837127313384,740.520350207237,670.661991511335,785.34332428119,780.641579603487,813.191792082944,790.134004238581,838.657534752676,884.347635852395,0
Energy use (kg of oil equivalent per capita),"Egypt, Arab Rep.",EGY,555.363029389867,610.580912676868,616.735181564293,626.968201885931,663.862084742711,758.019370512355,785.453161576492,825.604457247581,841.757486878585,845.166403517301,813.306139759159,835.7623383797,840.081387704282,786.950151747727,767.222164267744,0
Energy use (kg of oil equivalent per capita),El Salvador,SLV,667.489601010606,695.444583331937,706.836950531944,736.391947519746,729.659127036269,750.567722207588,788.709330510424,745.205849622218,745.966237854927,696.496639787946,700.379631752092,704.605667500858,691.059744274388,649.766837019182,659.728003855293,0
Energy use (kg of oil equivalent per capita),Equatorial Guinea,GNQ,0,0,0,0,846.74475534966,1318.39086647519,1517.65600403093,1697.8043403562,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Eritrea,ERI,315.033926990771,320.805214700709,312.758412321384,321.377375142498,286.177338581926,286.319594621254,256.761785269624,261.336851337588,239.478583275309,249.941739369816,251.530124073658,253.328931110211,257.603915458342,259.432857570356,263.102902487195,0
Energy use (kg of oil equivalent per capita),Estonia,EST,3374.70838985386,3541.51205051455,3415.78062130714,3798.03825726625,3893.39547172581,3846.3929434777,3775.03508289959,4243.64799952263,4105.41773553014,3648.97884250083,4222.7371899585,4237.72919132254,4174.38776559391,4623.27911216793,4592.61645664469,4173.32658257102
Energy use (kg of oil equivalent per capita),Ethiopia,ETH,470.07001506301,473.18365210841,472.625722796138,473.148191878166,472.923256408759,470.451208900836,470.66229725629,471.404374153169,471.81024549941,471.391675604149,471.109123792334,473.368461632355,473.507879281995,476.881883639503,478.395323926741,0
Energy use (kg of oil equivalent per capita),Faroe Islands,FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Fiji,FJI,0,0,0,0,761.694759402813,655.047320935788,627.8324058111,583.628117509735,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Finland,FIN,6262.19207918382,6410.62523419393,6728.58140544607,7077.0266490748,7134.85420908111,6562.02231144836,7111.856821567,6974.89676140919,6669.1733483595,6268.30054519017,6828.78375314542,6537.63729819133,6275.77096367897,6116.22729442255,6213.35776612777,5924.70012488295
Energy use (kg of oil equivalent per capita),France,FRA,4135.05940322621,4245.52425587243,4224.99799473055,4270.60853394759,4301.55248516336,4287.05542663288,4188.77965856711,4115.48461663789,4110.57722987249,3913.49416926625,4016.92800461648,3847.18753955222,3836.78222520849,3833.57799756514,3659.08779468449,3692.01783331053
Energy use (kg of oil equivalent per capita),French Polynesia,PYF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Gabon,GAB,1152.91727946364,1205.46751690798,1416.72768904236,1620.70893767859,1828.9670366465,2052.40605536746,2239.94306312184,2418.09184590779,2573.15227028793,2722.8417218559,2954.89508273547,2296.50754635982,1963.54951488693,2767.66006693991,2565.38140183047,0
Energy use (kg of oil equivalent per capita),"Gambia, The",GMB,0,0,0,0,66.6127185884025,64.7856046386493,66.4616460917346,75.3210773292618,0,0,0,0,0,0,0,0
Energy use (kg of oil equivalent per capita),Georgia,GEO,703.721808300984,640.301237578073,639.419230542049,684.582168444451,707.986576155871,727.880733966112,781.24765645959,865.592807341047,780.719453473334,811.531979051069,824.543038190295,943.543902326697,993.739933288172,1048.34105681303,1180.27275264329,0
Energy use (kg of oil equivalent per capita),Germany,DEU,4094.0603595302,4209.79608663882,4108.40129887204,4084.50334562012,4114.38992751247,4086.50340728713,4204.65468948158,3985.81195485319,4036.83078099396,3790.50115157318,3997.07942080976,3869.81622904859,3876.94810409338,3939.52956270835,3779.46192078536,3817.54941455461
Energy use (kg of oil equivalent per capita),Ghana,GHA,319.617975924841,313.215668573356,302.878213288304,278.947564893255,271.497077641799,262.153600459842,272.122785147779,265.220201487344,258.590266551521,273.159143364524,290.753109078137,302.988171567001,320.074220846443,326.902611107721,322.157921704303,0
Energy use (kg of oil equivalent per capita),Gibraltar,GIB,4613.98823486954,4732.50894890986,4773.77744242032,4802.61017188937,5086.67943583493,5176.55933888832,5304.41981482733,5227.45450909818,5251.73445566041,5579.24277325374,5535.90629800307,5304.10612760581,5366.1681601049,5672.84845866634,5974.0042056502,0
